Name,ISO,UN_Region,UN_Subregion,WB_Income_Group,HDI_Group,UNFCCC,G7,G20,G77,LDC,SIDS,AOSIS,BASIC,BRICS,EU27,ETS,OPEC,Arab_States,Cartagena,Umbrella,MAC_MIT,MAC_McKinsey,MAC_GCAM,RCP_IIASA
Norway,NOR,Europe,Northern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,EUR,rOECDE,EFTA,OECD90
Oman,OMN,Asia,Western Asia,HIC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MES,MESm,MESg,MAF
Pakistan,PAK,Asia,Southern Asia,LMC,Lo HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ROW,rdASI,PAKg,ASIA
Palau,PLW,Oceania,Micronesia,UMC,Hi HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rdASI,ANZg,ASIA
Panama,PAN,Americas,Latin America and the Caribbean,HIC,VHi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,LAM,rLAM,CAC,LAMi
Papua New Guinea,PNG,Oceania,Melanesia,LMC,Med HDI,Non-Annex 1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ROW,rdASI,SEASI,ASIA
Paraguay,PRY,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,LAM,rLAM,SAS,LAMi
Peru,PER,Americas,Latin America and the Caribbean,UMC,Hi HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,LAM,rLAM,SAN,LAMi
Philippines,PHL,Asia,South-eastern Asia,LMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ASI,rdASI,SEASI,ASIA
Poland,POL,Europe,Eastern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EET,rEUR,EEUR,REF
Portugal,PRT,Europe,Southern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EUR,rEUR,EU12,OECD90
Qatar,QAT,Asia,Western Asia,HIC,VHi HDI,Non-Annex 1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MES,MESm,MESg,MAF
"Congo, Republic",COG,Africa,Sub-Saharan Africa,LMC,Med HDI,Non-Annex 1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,AFR,rAFR,AFRW,MAF
Romania,ROU,Europe,Eastern Europe,HIC,VHi HDI,Annex 1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,EET,rEUR,EEUR,REF
